# file	T (C)	std T (C)	eta (Pa.s)	std eta (Pa.s)
# 
6	20.00	0.00	1.115448E-03	4.194147E-05
7	4.92	0.13	1.681150E-03	4.439438E-05
8	10.04	0.09	1.502511E-03	4.438589E-05
9	15.03	0.08	1.310383E-03	4.338658E-05
10	20.03	0.07	1.134666E-03	4.319505E-05
11	25.02	0.07	9.716672E-04	4.259774E-05
12	30.02	0.07	8.645232E-04	4.071151E-05
13	35.02	0.06	7.803553E-04	4.066427E-05
14	40.01	0.06	6.905747E-04	4.103846E-05
15	45.01	0.06	6.265292E-04	4.053953E-05
16	50.01	0.06	5.712554E-04	4.053438E-05
17	55.01	0.07	5.223772E-04	4.063727E-05
18	60.01	0.07	4.811499E-04	4.030830E-05
19	65.01	0.08	4.565605E-04	4.039142E-05
20	70.00	0.08	4.312454E-04	4.036119E-05
21	75.00	0.09	4.136815E-04	3.983154E-05
22	80.00	0.10	3.791115E-04	4.398234E-05
23	19.95	0.09	9.480883E-04	4.206067E-05
