Meas. Pts.	Interval Time	Frequency	Storage Modulus	Loss Modulus	Damping Factor	Temperature	Torque	Strain	Shear Stress
	[s]	[Hz]	[Pa]	[Pa]	[1]	[°C]	[µNm]	[%]	[Pa]
1	7.62E+3	1E-3	6.62E-1	2.07E+1	31.2	40	8.22E-1	9.78E-1	2.02E-1
2	1.05E+4	1.58E-3	1.15E0	3.29E+1	28.5	40	1.35E0	1.01E0	3.32E-1
3	1.22E+4	2.51E-3	3.33E0	5.28E+1	15.8	40	2.16E0	1E0	5.3E-1
4	1.34E+4	3.98E-3	8.05E0	8.39E+1	10.4	40	3.44E0	1E0	8.44E-1
5	1.41E+4	6.31E-3	2.04E+1	1.31E+2	6.42	40	5.39E0	1E0	1.33E0
6	1.44E+4	1E-2	4.64E+1	2E+2	4.3	40	8.43E0	1.01E0	2.07E0
7	1.47E+4	1.58E-2	1.06E+2	2.89E+2	2.74	40	1.27E+1	1.01E0	3.11E0
8	1.48E+4	2.51E-2	2.12E+2	3.97E+2	1.87	40	1.83E+1	9.99E-1	4.49E0
9	1.49E+4	3.98E-2	3.74E+2	4.75E+2	1.27	40	2.49E+1	1.01E0	6.12E0
10	1.5E+4	6.31E-2	5.71E+2	5.08E+2	0.889	40	3.13E+1	1.01E0	7.69E0
11	1.5E+4	1E-1	7.56E+2	4.9E+2	0.648	40	3.69E+1	1.01E0	9.08E0
12	1.5E+4	1.58E-1	9.21E+2	4.42E+2	0.48	40	4.15E+1	9.98E-1	1.02E+1
13	1.5E+4	2.51E-1	1.05E+3	3.81E+2	0.363	40	4.55E+1	1E0	1.12E+1
14	1.51E+4	3.98E-1	1.15E+3	3.21E+2	0.279	40	4.87E+1	1E0	1.2E+1
15	1.51E+4	6.31E-1	1.23E+3	2.68E+2	0.218	40	5.11E+1	9.99E-1	1.26E+1
16	1.51E+4	1E0	1.29E+3	2.23E+2	0.173	40	5.33E+1	9.99E-1	1.31E+1
17	1.51E+4	1.58E0	1.34E+3	1.87E+2	0.139	40	5.52E+1	9.99E-1	1.36E+1
18	1.51E+4	2.51E0	1.39E+3	1.56E+2	0.113	40	5.68E+1	1E0	1.4E+1
19	1.51E+4	3.98E0	1.42E+3	1.32E+2	0.0928	40	5.81E+1	1E0	1.43E+1
20	1.51E+4	6.31E0	1.44E+3	1.12E+2	0.0775	40	5.89E+1	1E0	1.45E+1
21	1.51E+4	1E+1	1.45E+3	9.83E+1	0.068	40	5.9E+1	1E0	1.45E+1
