# T	C_SE
2.293033349194036319e+01	5.000000000000000000e-01
2.536965616632767961e+01	1.000000000000000000e+00
2.862637801732498488e+01	2.500000000000000000e+00
3.112301565643950596e+01	5.000000000000000000e+00
3.365750101348940149e+01	1.000000000000000000e+01
3.708378694139840803e+01	2.500000000000000000e+01
3.975110041148016649e+01	5.000000000000000000e+01
4.250349116757938361e+01	1.000000000000000000e+02
4.631571978102031295e+01	2.500000000000000000e+02
4.710371767178297375e+01	3.000000000000000000e+02
4.808399738608896712e+01	3.750000000000000000e+02
4.837094386762045417e+01	4.000000000000000000e+02
4.889879129331439600e+01	4.500000000000000000e+02
4.937576132311992438e+01	5.000000000000000000e+02
5.021241335787234306e+01	6.000000000000000000e+02
5.125709304262027644e+01	7.500000000000000000e+02
5.212904249664636325e+01	9.000000000000000000e+02
5.354160043998503937e+01	1.200000000000000000e+03
5.467120962521694594e+01	1.500000000000000000e+03
5.617575840951896282e+01	2.000000000000000000e+03
